접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2024,11440,마포구,11100,신수동,1,대지,228,3,마인빌,20241031,37300,32.48,20,4,,,2022,연립다세대,직거래,
2024,11320,도봉구,10800,도봉동,1,대지,565,9,(565-9),20241031,9900,25.92,21,4,,,2003,연립다세대,직거래,
2024,11500,강서구,10900,방화동,1,대지,620,214,(620-214),20241031,10000,27.37,40.37,7,,,2011,오피스텔,중개거래,서울 강서구
2024,11680,강남구,11200,자곡동,1,대지,658,0,강남힐스테이트에코,20241031,17000,24.118,31.983,10,,,2014,오피스텔,중개거래,서울 강남구
2024,11500,강서구,10300,화곡동,1,대지,343,44,계명아파트나동,20241031,39800,74.79,0,3,,,2001,아파트,중개거래,서울 강서구
2024,11410,서대문구,11600,창천동,,,,,,20241031,340000,421.83,284,,,,2014,단독다가구,직거래,
2024,11410,서대문구,10200,충정로3가,,,,,,20241031,31000,9.92,20,,,,1953,단독다가구,중개거래,서울 서대문구
,11500,강서구,10100,염창동,1,대지,262,0,염창투웨니퍼스트,20241031,37000,28.57,37.91,2,,,2019,오피스텔,직거래,
,,,,,,,,,,,,,,,,,,,,
2024,11500,강서구,10100,염창동,1,대지,262,0,염창투웨니퍼스트,20241031,37000,28.57,37.91,2,,,2019,오피스텔,직거래,
2024,11230,동대문구,11000,이문동,1,대지,255,192,디크라쎄,20241031,14000,17.212,28.9232,10,,,2019,오피스텔,중개거래,서울 동대문구
2024,11590,동작구,10200,상도동,1,대지,415,0,중앙하이츠빌,20241031,110000,123.602,0,1,,,2003,아파트,직거래,
2024,11545,금천구,10100,가산동,1,대지,233,5,가산센트럴 푸르지오시티,20241031,13000,17.62,25.321,17,,,2020,오피스텔,중개거래,서울 금천구
2024,11410,서대문구,11900,북가좌동,1,대지,316,24,해피하우스에이동,20241031,23800,26.91,16,4,,,2016,연립다세대,중개거래,"서울 강남구, 서울 영등포구"
2024,11260,중랑구,10100,면목동,1,대지,576,2,사랑채,20241031,40500,29.23,18,6,,,2022,연립다세대,중개거래,서울 성북구
2024,11620,관악구,10200,신림동,1,대지,1638,32,(1638-32),20241030,10500,43.51,64.09,7,,,1992,오피스텔,직거래,
2024,11740,강동구,10900,천호동,1,대지,121,65,천호동아트팰리스,20241030,30000,29.35,20,6,,,2017,연립다세대,중개거래,경기 포천시
2024,11500,강서구,10300,화곡동,1,대지,379,40,예인빌라(379-40),20241030,15500,38.59,21,4,,,2003,연립다세대,중개거래,서울 강서구
2024,11350,노원구,10500,상계동,1,대지,322,8,오성빌라,20241030,24000,64.68,58,2,,,1985,연립다세대,직거래,
2024,11200,성동구,11000,금호동2가,1,대지,1217,0,래미안하이리버,20241030,139000,59.99,0,10,,,2012,아파트,중개거래,서울 성동구
2024,11545,금천구,10300,시흥동,1,대지,820,30,용현그린빌,20241030,28000,51.73,35,4,,,2014,연립다세대,중개거래,서울 금천구
2024,11620,관악구,10200,신림동,1,대지,610,385,우석빌라5차,20241030,17000,39.63,17,1,,,1993,연립다세대,중개거래,서울 관악구
2024,11680,강남구,11400,일원동,1,대지,741,0,래미안 개포 루체하임,20241030,274500,84.99,0,4,,20241030,2018,아파트,중개거래,서울 강남구
2024,11560,영등포구,12000,문래동2가,1,대지,35,0,남성,20241030,65000,72.9,0,11,,,1983,아파트,직거래,
2024,11380,은평구,11400,진관동,1,대지,100,1,은평헤스티아 2차,20241030,10500,23.19,35.67,9,,,null,오피스텔,중개거래,서울 은평구
2024,11260,중랑구,10100,면목동,1,대지,1274,0,순원하이츠빌라,20241030,35000,37.55,23,3,,,1993,연립다세대,중개거래,"서울 강동구, 서울 중랑구"
2024,11470,양천구,10100,신정동,1,대지,1279,0,목동현대3차,20241030,105000,84.77,0,16,,,1997,아파트,중개거래,서울 양천구
2024,11710,송파구,10700,가락동,1,대지,99,1,(99-1),20241030,12000,35.83,49.05,7,,,1990,오피스텔,중개거래,서울 송파구
2024,11500,강서구,10300,화곡동,1,대지,56,266,전원빌라(56-266),20241030,9800,41.44,29,2,,,1986,연립다세대,직거래,
2024,11170,용산구,12800,한강로3가,1,대지,65,7,시티하우스,20241030,24400,19.89,0,3,,,2011,아파트,중개거래,서울 용산구
2024,11410,서대문구,11700,연희동,1,대지,302,1,글랜우드,20241030,73000,113.59,45,4,,,2004,연립다세대,직거래,
2024,11305,강북구,10100,미아동,1,대지,8,438,코코빌,20241030,40000,51.41,35,5,,,2020,연립다세대,직거래,
2024,11350,노원구,10500,상계동,1,대지,1279,0,상계1차중앙하이츠,20241030,54800,59.82,0,17,,,1997,아파트,중개거래,서울 노원구
2024,11260,중랑구,10100,면목동,1,대지,34,8,현대빌라,20241030,12300,77.88,48,1,,,1990,연립다세대,직거래,
2024,11560,영등포구,11000,여의도동,1,대지,17,16,D.S라르,20241030,20800,19.448,31.9252,8,,,2021,오피스텔,중개거래,서울 영등포구
2024,11740,강동구,10500,길동,1,대지,457,4,거산 유팰리스,20241030,18354,16.56,25.5087,9,,,2020,오피스텔,직거래,
2024,11500,강서구,10400,가양동,1,대지,1460,0,한강타운,20241030,94000,84.99,0,2,,,1993,아파트,중개거래,서울 강서구
2024,11680,강남구,10100,역삼동,1,대지,825,24,강남역 효성해링턴 타워 더퍼스트,20241030,25300,22.85,30.22,8,,,2014,오피스텔,중개거래,서울 서초구
2024,11680,강남구,11100,세곡동,1,대지,582,0,강남레체,20241030,18200,28.64,40.161,7,,,2016,오피스텔,중개거래,서울 강남구
2024,11440,마포구,12200,합정동,1,대지,473,0,마포 한강 2차 푸르지오,20241030,30000,23.08,34.3647,20,,,2016,오피스텔,중개거래,서울 마포구
2024,11740,강동구,10500,길동,1,대지,457,4,거산 유팰리스,20241030,19086,16.56,25.5087,11,,,2020,오피스텔,직거래,
2024,11560,영등포구,13300,대림동,1,대지,967,2,테라펠리체대림,20241030,39500,29.66,22,3,,,2024,연립다세대,직거래,
2024,11380,은평구,11000,증산동,1,대지,133,4,세진빌라,20241030,59100,77,37,3,,,2002,연립다세대,중개거래,서울 은평구
2024,11740,강동구,10100,명일동,1,대지,56,0,현대(고덕),20241030,165000,131.83,0,4,,,1986,아파트,중개거래,서울 강동구
2024,11545,금천구,10300,시흥동,1,대지,866,3,세진파크빌라10차,20241030,13000,62.02,30,-1,,,2000,연립다세대,직거래,
2024,11440,마포구,12000,서교동,1,대지,475,44,서교스위트하우스,20241030,55000,47.6,26,4,,,2014,연립다세대,중개거래,서울 마포구
2024,11650,서초구,10800,서초동,1,대지,1599,2,엘지서초에클라트,20241030,34000,42.292,56.148,17,,,2004,오피스텔,중개거래,서울 서초구
2024,11140,중구,16500,황학동,1,대지,1978,0,(1978-0),20241030,16000,55.1,33,3,,,2002,연립다세대,중개거래,서울 중구
2024,11560,영등포구,10200,영등포동1가,1,대지,92,3,여의도이튼브라운,20241030,56500,43.37,0,4,,,2022,아파트,중개거래,서울 영등포구
2024,11680,강남구,10400,청담동,1,대지,23,0,현대아파트,20241029,184000,84.78,0,10,,,1988,아파트,중개거래,서울 강남구
2024,11350,노원구,10500,상계동,1,대지,1388,12,그린아트빌리지,20241029,44000,98.8,64,3,,,1997,연립다세대,직거래,
2024,11500,강서구,10600,내발산동,1,대지,709,42,명진아트빌라다동,20241029,15200,37.02,30,3,,,1991,연립다세대,직거래,
2024,11410,서대문구,11900,북가좌동,1,대지,3,19,비젼힐스,20241029,24500,49.99,27,3,,,2010,연립다세대,중개거래,서울 마포구
2024,11500,강서구,10300,화곡동,1,대지,340,87,명신타운(340-87),20241029,28800,59.86,33,2,,,1998,연립다세대,중개거래,서울 강서구
2024,11470,양천구,10100,신정동,1,대지,1197,7,레녹스스튜디오,20241029,51000,20.5,12,3,,,2002,연립다세대,중개거래,서울 양천구
2024,11140,중구,12500,충무로2가,1,대지,48,2,명동 엠퍼스트플레이스,20241029,23000,18.6,28.07,6,,,2007,오피스텔,중개거래,서울 중구
2024,11380,은평구,11400,진관동,1,대지,88,0,우물골2단지두산위브(209~222동)BL2-8,20241029,81000,84.51,0,2,,,2009,아파트,중개거래,서울 은평구
2024,11290,성북구,13300,정릉동,1,대지,1021,0,대우,20241029,33000,43.11,0,4,,,2001,아파트,중개거래,서울 성북구
2024,11530,구로구,10200,구로동,1,대지,107,4,비즈트위트 블루,20241029,11000,19.85,30.16,13,,,2012,오피스텔,중개거래,인천 서구
2024,11710,송파구,10800,문정동,1,대지,620,0,송파푸르지오시티,20241029,23900,30,39.11,14,,,2013,오피스텔,중개거래,서울 송파구
2024,11230,동대문구,10600,장안동,1,대지,578,0,경남하이빌,20241029,51000,73.78,0,3,,,2008,아파트,중개거래,서울 동대문구
2024,11230,동대문구,10600,장안동,1,대지,578,0,경남하이빌,20241029,51000,73.78,0,3,,20241030,2008,아파트,중개거래,서울 동대문구
2024,11650,서초구,10200,양재동,1,대지,275,3,트윈타워,20241029,15000,29.02,29.02,18,,,1991,오피스텔,중개거래,서울 서초구
2024,11710,송파구,10800,문정동,1,대지,622,0,송파한화오벨리스크,20241029,23600,29.99,38.607,12,,,2013,오피스텔,중개거래,서울 송파구
2024,11410,서대문구,11200,대현동,1,대지,90,77,유씨유 이대,20241029,20800,17.66,30.7403,18,,,2018,오피스텔,중개거래,서울 서대문구
2024,11215,광진구,10500,자양동,1,대지,680,63,롯데캐슬 이스트폴,20241029,253100,138.52,0,32,분양권,,0,아파트,중개거래,"서울 강동구, 서울 송파구"
2024,11305,강북구,10100,미아동,1,대지,791,2009,자영리베라,20241029,30800,59.985,28,3,,,2011,연립다세대,중개거래,"서울 강북구, 서울 용산구"
2024,11680,강남구,10500,삼성동,1,대지,17,0,삼성동롯데아파트,20241029,239000,91.77,0,19,,,2000,아파트,중개거래,서울 강남구
2024,11740,강동구,10500,길동,1,대지,416,4,솔목오피스텔,20241029,9700,30.57,41.09,6,,,2002,오피스텔,중개거래,서울 강동구
2024,11650,서초구,10800,서초동,1,대지,1582,3,서초센트럴IPARK,20241029,32550,24.755,38.6411,8,,,2020,오피스텔,중개거래,서울 서초구
2024,11380,은평구,10800,역촌동,1,대지,44,10,영화빌라,20241029,11400,48.6,19,-1,,,1994,연립다세대,중개거래,서울 은평구
2024,11290,성북구,13300,정릉동,1,대지,239,0,정릉풍림아이원,20241029,65000,114.75,0,9,,,2005,아파트,중개거래,서울 성북구
2024,11305,강북구,10100,미아동,1,대지,791,364,북서울자이 폴라리스,20241029,102000,84.958,0,3,분양권,,0,아파트,중개거래,서울 강북구
